Unnamed: 0,pre_proc,redux_func,n_components,dist,t,P1pp,P1_True,P1_len,P2pp,P2_True,P2_len,P3pp,P3_True,P3_len
50.0,escalaropt_missings,_TruncatedSVD,10,Manhattan,1053.0533034801483,0.007194244604316547,4,556,0.1887125220458553,107,567,0.19548872180451127,52,266
51.0,escalaropt_missings,_TruncatedSVD,10,scy_cossine,966.116632461548,0.007194244604316547,4,556,0.1887125220458553,107,567,0.19548872180451127,52,266
52.0,escalaropt_missings,_TruncatedSVD,10,Camberra,986.1662275791168,0.007194244604316547,4,556,0.1887125220458553,107,567,0.19548872180451127,52,266
53.0,escalaropt_missings,_TruncatedSVD,10,BrayCurtis,1000.9588813781737,0.007194244604316547,4,556,0.1887125220458553,107,567,0.19548872180451127,52,266
54.0,escalaropt_missings,_TruncatedSVD,10,np_cossine,1019.1260437965393,0.007194244604316547,4,556,0.1887125220458553,107,567,0.19548872180451127,52,266
55.0,escalaropt_missings,_TruncatedSVD,20,Manhattan,1155.7972733974455,0.01079136690647482,6,556,0.18694885361552027,106,567,0.21804511278195488,58,266
56.0,escalaropt_missings,_TruncatedSVD,20,scy_cossine,1047.3229949474337,0.01079136690647482,6,556,0.18694885361552027,106,567,0.21804511278195488,58,266
57.0,escalaropt_missings,_TruncatedSVD,20,Camberra,1041.6779313087463,0.01079136690647482,6,556,0.18694885361552027,106,567,0.21804511278195488,58,266
58.0,escalaropt_missings,_TruncatedSVD,20,BrayCurtis,1015.5199646949768,0.01079136690647482,6,556,0.18694885361552027,106,567,0.21804511278195488,58,266
59.0,escalaropt_missings,_TruncatedSVD,20,np_cossine,1015.884081363678,0.01079136690647482,6,556,0.18694885361552027,106,567,0.21804511278195488,58,266
60.0,escalaropt_missings,_TruncatedSVD,30,Manhattan,1108.4114193916319,0.008992805755395683,5,556,0.20987654320987653,119,567,0.2293233082706767,61,266
61.0,escalaropt_missings,_TruncatedSVD,30,scy_cossine,1010.167610168457,0.008992805755395683,5,556,0.20987654320987653,119,567,0.2293233082706767,61,266
