pre_proc,redux_func,n_components,dist,t,P1pp,P1_True,P1_len,P2pp,P2_True,P2_len
escalaropt_std,_TruncatedSVD,10,Manhattan,635.0038843154907,0.17491166077738515,99,566,0.21509433962264152,57,265
escalaropt_std,_TruncatedSVD,20,Manhattan,660.9161326885222,0.17491166077738515,99,566,0.22264150943396227,59,265
escalaropt_std,_TruncatedSVD,30,Manhattan,683.0958318710327,0.2173144876325088,123,566,0.2490566037735849,66,265
escalaropt_std,_TruncatedSVD,40,Manhattan,704.5161983966827,0.2296819787985865,130,566,0.2830188679245283,75,265
escalaropt_std,_TruncatedSVD,50,Manhattan,730.1628921031952,0.2402826855123675,136,566,0.2830188679245283,75,265
escalaropt_std,_TruncatedSVD,60,Manhattan,751.4415192604065,0.23674911660777384,134,566,0.2867924528301887,76,265
escalaropt_std,_TruncatedSVD,70,Manhattan,772.1724939346312,0.2332155477031802,132,566,0.2830188679245283,75,265
escalaropt_std,_TruncatedSVD,80,Manhattan,799.0880002975464,0.23674911660777384,134,566,0.2867924528301887,76,265
escalaropt_std,_TruncatedSVD,90,Manhattan,817.9043555259705,0.2385159010600707,135,566,0.2867924528301887,76,265
escalaropt_std,_TruncatedSVD,100,Manhattan,845.3485293388368,0.23674911660777384,134,566,0.2867924528301887,76,265
escalaropt_std,_TruncatedSVD,110,Manhattan,861.0412700176239,0.2385159010600707,135,566,0.2867924528301887,76,265
escalaropt_std,_TruncatedSVD,120,Manhattan,880.9788377285004,0.2402826855123675,136,566,0.2867924528301887,76,265
escalaropt_std,_TruncatedSVD,130,Manhattan,905.0564115047456,0.2402826855123675,136,566,0.2867924528301887,76,265
escalaropt_std,_TruncatedSVD,140,Manhattan,926.7081661224364,0.2402826855123675,136,566,0.2867924528301887,76,265
escalaropt_std,_TruncatedSVD,150,Manhattan,921.2558677196504,0.2402826855123675,136,566,0.2867924528301887,76,265
escalaropt_entropy,_TruncatedSVD,10,Manhattan,631.9941446781157,0.19611307420494686,111,566,0.2339622641509434,62,265
escalaropt_entropy,_TruncatedSVD,20,Manhattan,656.5063490867615,0.2261484098939929,128,566,0.2037735849056604,54,265
escalaropt_entropy,_TruncatedSVD,30,Manhattan,679.67551445961,0.2226148409893993,126,566,0.21509433962264152,57,265
escalaropt_entropy,_TruncatedSVD,40,Manhattan,701.4697797298431,0.2561837455830389,145,566,0.2490566037735849,66,265
escalaropt_entropy,_TruncatedSVD,50,Manhattan,725.694037437439,0.2597173144876325,147,566,0.27547169811320754,73,265
escalaropt_entropy,_TruncatedSVD,60,Manhattan,747.9911980628967,0.25265017667844525,143,566,0.27547169811320754,73,265
escalaropt_entropy,_TruncatedSVD,70,Manhattan,770.1265287399292,0.2614840989399293,148,566,0.26037735849056604,69,265
escalaropt_entropy,_TruncatedSVD,80,Manhattan,792.4768989086151,0.2597173144876325,147,566,0.2528301886792453,67,265
escalaropt_entropy,_TruncatedSVD,90,Manhattan,813.478193283081,0.2561837455830389,145,566,0.2528301886792453,67,265
escalaropt_entropy,_TruncatedSVD,100,Manhattan,834.0981442928314,0.2561837455830389,145,566,0.26037735849056604,69,265
escalaropt_entropy,_TruncatedSVD,110,Manhattan,853.78972864151,0.254416961130742,144,566,0.2566037735849057,68,265
escalaropt_entropy,_TruncatedSVD,120,Manhattan,873.6555230617523,0.2561837455830389,145,566,0.26037735849056604,69,265
escalaropt_entropy,_TruncatedSVD,130,Manhattan,898.1478910446167,0.2561837455830389,145,566,0.2566037735849057,68,265
escalaropt_entropy,_TruncatedSVD,140,Manhattan,915.2570259571077,0.25265017667844525,143,566,0.2528301886792453,67,265
